No.,Slip system,Schmid factor (m),Schmid factor (m),Schmid factor (m),Schmid factor (m)
No.,Slip system,<111>T,<100>C,<122>T,<144>T
1',(   1 -     1 -   1 )   [ 011 ],0.14,0.01,0.23,0.33
2',( 1   1 -   1 )   [ 0   1 -     1 -   ],0.05,0.01,0.03,0.05
3',(   1 -   11 )   [   1 -   0   1 -   ],0.03,0.42,0.03,0.01
4',( 1   1 -   1 )   [   1 -   01 ],0.28,0.42,0.13,0.12
5',(   1 -     1 -   1 )   [ 101 ],0.06,0.40,0.05,0.02
6',( 111 )   [   1 -   01 ],0.19,0.40,0.20,0.09
7',( 1   1 -     1 -   )   [ 0   1 -   1 ],0.33,0.41,0.43,0.43
8',(   1 -   11 )   [   1 -     1 -   0 ],0.36,0.01,0.40,0.44
9',(   1 -     1 -   1 )   [ 1   1 -   0 ],0.08,0.41,0.27,0.32
10',( 1   1 -   1 )   [   1 -     1 -   0 ],0.24,0.41,0.09,0.08
11',( 111 )   [ 1   1 -   0 ],0.02,0.41,0.06,0.03
12',( 111 )   [ 0   1 -   1 ],0.17,0.01,0.14,0.06
