Condition,Temperature,Phase,Nb,Mo,Cr,Ti,Al
As-cast,-,Total+,19.66,19.43,19.38,19.34,20.10
As-cast,-,Total,19.8 +- 0.2,19.0 +- 0.2,20.3 +- 0.0,20.7 +- 0.0,20.2 +- 0.1
As-cast,-,Dendritic,22.8 +- 0.3,28.7 +- 0.6,14.3 +- 0.3,18.4 +- 0.5,15.8 +- 0.7
As-cast,-,Inter-dendritic,17.3 +- 0.4,10.9 +- 0.1,26.5 +- 0.7,22.5 +- 0.2,22.9 +- 0.9
Annealed for 20 h,1100 degC,Total,20.2 +- 0.1,19.2 +- 0.1,20.4 +- 0.1,20.5 +- 0.2,19.8 +- 0.0
1200 degC,Total,19.9 +- 0.2,19.5 +- 0.2,19.9 +- 0.2,20.6 +- 0.1,20.1 +- 0.1
1200 degC,Solid solution,19.5 +- 0.1,19.6 +- 0.2,19.3 +- 0.2,21.4 +- 0.1,20.3 +- 0.2
1200 degC,Laves,24.8 +- 0.4,5.6 +- 0.9,40.3 +- 0.9,9.8 +- 0.6,19.4 +- 0.2
1200 degC,Unknown*,23.6 +- 3.6,22.3 +- 2.5,16.2 +- 3.6,17.0 +- 3.5,20.9 +- 0.5
1200 degC,Unknown**,21.4 +- 0.7,21.1 +- 0.9,18.1 +- 1.4,18.5 +- 1.2,20.9 +- 0.2
1300 degC,Total,20.5 +- 0.1,19.6 +- 0.1,19.7 +- 0.1,20.3 +- 0.2,19.9 +- 0.0
1300 degC,Solid solution,20.5 +- 0.1,19.5 +- 0.0,19.7 +- 0.1,20.5 +- 0.2,19.9 +- 0.1
1300 degC,Unknown*,21.7 +- 0.8,18.8 +- 0.3,21.2 +- 0.4,17.9 +- 1.1,20.3 +- 0.1
Deformed,1100 degC,Laves,22.8 +- 0.8,17.6 +- 1.6,23.5 +- 2.6,17.8 +- 1.5,18.2 +- 0.4
Deformed,1100 degC,Unknown,23.4 +- 0.7,20.1 +- 1.0,20.0 +- 1.7,17.0 +- 1.2,19.4 +- 0.3
1200 degC,Laves,24.4 +- 0.8,12.7 +- 3.5,30.6 +- 5.3,13.7 +- 0.8,18.5 +- 0.5
1200 degC,Unknown,24.0 +- 1.5,18.6 +- 4.6,21.3 +- 7.2,16.8 +- 3.0,19.3 +- 0.6
