"Element, at.%","Element, at.%",Fe,Mn,Ni,Cr
Constituent,Constituent,Fe,Mn,Ni,Cr
No.,Designation,Fe,Mn,Ni,Cr
Fe40Mn28Ni28Cr4,Fe40Mn28Ni28Cr4,Fe40Mn28Ni28Cr4,Fe40Mn28Ni28Cr4,Fe40Mn28Ni28Cr4,Fe40Mn28Ni28Cr4
,Grains,40.8+-0.5,26.6+-0.3,28.2+-0.4,4.4+-0.1
,Alloy composition,41.2+-1.4,26.2+-0.7,28.0+-0.8,4.6+-0.2
,,,,,
Fe40Mn28Ni20Cr12,Fe40Mn28Ni20Cr12,Fe40Mn28Ni20Cr12,Fe40Mn28Ni20Cr12,Fe40Mn28Ni20Cr12,Fe40Mn28Ni20Cr12
,Grains,40.6+-0.6,27.0+-0.4,19.9+-0.5,12.5+-0.3
,Alloy composition,40.3+-1.7,27.1+-0.9,19.9+-0.6,12.7+-0.6
,,,,,
Fe40Mn28Ni14Cr18,Fe40Mn28Ni14Cr18,Fe40Mn28Ni14Cr18,Fe40Mn28Ni14Cr18,Fe40Mn28Ni14Cr18,Fe40Mn28Ni14Cr18
,Grains,39.8+-0.4,27.1+-0.5,16.1+-0.3,17.0+-0.4
,Alloy composition,40.0+-1.2,27.2+-0.8,16.2+-1.0,16.6+-0.9
,,,,,
Fe40Mn28Ni8Cr24,Fe40Mn28Ni8Cr24,Fe40Mn28Ni8Cr24,Fe40Mn28Ni8Cr24,Fe40Mn28Ni8Cr24,Fe40Mn28Ni8Cr24
1,Sigma phase,38.0+-0.5,24.7+-0.6,5.3+-0.1,32.0+-0.8
2,FCC particles,42.3+-0.5,28.3+-0.5,11.6+-0.3,17.8+-0.3
,Alloy composition,40.4+-1.5,26.1+-0.9,8.4+-0.3,25.1+-1.1
