Alloy,Element,Hf,Mo,Nb,Ta,Ti,Zr
Mo-0,Nominal,20,-,20,20,20,20
Mo-0,DR,19.9,-,21.7,24.4,16.6,17.5
Mo-0,ID,22.2,-,16.5,15.9,21.7,23.6
Mo-0.25,Nominal,19.0,4.8,19.0,19.0,19.0,19.0
Mo-0.25,DR,17.9,5.8,23.1,21.7,14.7,16.8
Mo-0.25,ID,21.0,4.0,18.1,13.2,19.3,24.3
Mo-0.5,Nominal,18.2,9.1,18.2,18.2,18.2,18.2
Mo-0.5,DR,15.5,9.3,20.7,26.3,15.4,12.9
Mo-0.5,ID,21.7,8.7,14.5,11.1,19.3,24.8
Mo-0.75,Nominal,17.4,13.0,17.4,17.4,17.4,17.4
Mo-0.75,DR,15.9,14.6,19.7,20.1,13.5,16.2
Mo-0.75,ID,20.3,11.2,15.9,12.9,17.9,22.0
Mo-1,Nominal,16.7,16.7,16.7,16.7,16.7,16.7
Mo-1,DR,14.3,18.4,19.5,24.4,12.4,10.8
Mo-1,ID,21.1,13.6,12.3,9.9,18.3,24.7
