Alloys,Regions,Crystal structure,Chemical compositions/at.%,Chemical compositions/at.%,Chemical compositions/at.%,Chemical compositions/at.%,Chemical compositions/at.%,Chemical compositions/at.%
,,,Al,Cr,Mn,Fe,Co,Ni
Al0,O,FCC,0.0,21.3+-0.4,20.7+-0.5,19.4+-0.5,19.3+-0.6,19.3+-0.7
Al2,O,FCC,2.4+-0.8,20.9+-0.4,19.7+-0.5,19.5+-0.5,19.3+-0.4,18.2+-0.6
Al4,O,FCC,4.6+-0.1,20.9+-0.3,18.1+-0.3,19.1+-0.4,19.3+-0.5,18.0+-0.5
Al8,O,-,7.6+-0.2,20.0+-0.3,18.2+-0.3,18.3+-0.4,18.2+-0.2,17.7+-0.5
,BP,FCC,7.0+-0.4,20.9+-0.2,15.4+-0.2,21.1+-0.3,19.4+-0.1,16.2+-0.4
,DP,BCC,11.2+-0.5,17.8+-0.3,22.7+-0.4,14.5+-0.2,15.2+-0.3,18.6+-0.2
Al9,O,-,9.3+-0.4,19+-0.5,18.4+-0.4,17.5+-1.1,18+-0.5,17.8+-0.8
,BP,FCC,8+-0.6,20.5+-0.4,16+-0.6,20+-0.4,19.1+-0.2,16.4+-0.3
,DP,BCC,14.1+-1.1,15.8+-1.5,21.1+-1.2,13.3+-0.6,15.2+-0.6,20.5+-0.4
Al10,O,-,10.4+-0.8,19+-0.4,18+-0.3,17.4+-0.5,17.6+-0.2,17.6+-0.2
,BP,FCC,9.1+-0.2,18.8+-0.5,17.9+-0.3,18.1+-0.4,18.2+-0.5,17.9+-0.4
,DP,BCC,14.7+-0.5,20+-1.0,17.1+-0.5,15.9+-0.5,16.2+-0.4,16.1+-0.4
Al11,O,-,11.9+-0.4,17.9+-0.8,17.9+-0.7,17.6+-0.7,17.1+-0.3,17.6+-0.5
,BP,FCC,10.9+-1.0,17.4+-0.6,18.3+-0.4,17.4+-0.1,17.6+-0.2,18.4+-0.6
,DP,BCC,13.3+-0.5,19.5+-0.8,17.1+-0.8,17.2+-0.3,16.9+-0.7,16+-1.2
Al12,O,-,13.1+-0.7,18.2+-0.4,17.3+-0.4,17.2+-0.2,17+-0.4,17.2+-0.2
Al13,O,-,14+-0.2,17.9+-0.7,17.2+-0.4,16.8+-0.3,16.9+-0.3,17.2+-0.4
Al14,O,-,14.4+-0.8,18.3+-0.5,16.9+-0.5,16.8+-0.2,16.9+-0.4,16.7+-0.2
Al16,O,-,17.5+-1.2,17.4+-0.4,16.4+-0.8,16.2+-0.4,16.1+-0.2,16.3+-0.3
Al20,O,BCC,21.3+-0.3,16.4+-0.4,15.9+-0.9,15.5+-0.2,15.4+-0.6,15.5+-0.5
,BP,BCC,20.5+-1.8,15.8+-0.2,13.9+-0.6,15.7+-0.4,16.9+-0.6,17.2+-0.3
,DP,BCC,24.9+-1.1,5.3+-0.4,17.3+-0.5,9.1+-0.5,20.1+-0.3,24.3+-0.3
