Samples,Items,Al (%),Co (%),Cr (%),Fe (%),Ni (%)
C-0,Designed,0,25.00,25.00,25.00,25.00
C-0,Overall (FCC),0,24.16,26.82,24.48,24.66
,,,,,,
C-0.25,Designed,5.88,23.53,23.53,23.53,23.53
C-0.25,Overall (FCC),5.61,23.14,24.58,24.10,22.58
,,,,,,
C-0.375,Designed,8.57,22.86,22.86,22.86,22.86
C-0.375,Overall (FCC),7.82,22.61,23.68,23.34,22.55
,,,,,,
C-0.50,Designed,11.11,22.22,22.22,22.22,22.22
C-0.50,Overall,12.4,21.02,22.80,20.91,22.87
C-0.50,FCC (87.83%),10.36,21.80,23.50,21.83,22.52
C-0.50,BCC (12.16%),16.93,18.65,24.07,18.50,21.86
,,,,,,
C-0.75,Designed,15.79,21.05,21.05,21.05,21.05
C-0.75,Overall,15.00,21.04,22.29,21.16,20.51
C-0.75,FCC (27.28%),13.19,21.60,23.89,22.43,18.88
C-0.75,BCC (72.72%),15.86,20.99,22.27,20.80,22.07
,,,,,,
C-0.875,Designed,17.95,20.51,20.51,20.51,20.51
C-0.875,Overall (BCC),16.18,20.56,21.83,21.33,20.10
,,,,,,
C-1.00,Designed,20.00,20.00,20.00,20.00,20.00
C-1.00,Overall (BCC),18.26,19.78,21.12,20.68,20.17
,,,,,,
C-1.25,Designed,23.81,19.05,19.05,19.05,19.05
C-1.25,Overall (BCC),23.03,19.36,19.28,18.74,19.59
,,,,,,
C-1.50,Designed,27.27,18.18,18.18,18.18,18.18
C-1.50,Overall (BCC),27.79,18.17,18.30,18.08,17.66
,,,,,,
C-2.00,Designed,33.33,16.67,16.67,16.67,16.67
C-2.00,Overall (BCC),32.01,16.79,17.60,16.78,16.81
