x-Value,Al,Co,Cr,Cu,Fe,Ni
0.5,0.5,0.5,0.5,0.5,0.5,0.5
Nominal,9.09,18.18,18.18,18.18,18.18,18.18
DR (BCC),5.5,21.2,23.9,9.4,22.7,17.2
ID (Cu-rich),12.5,5.5,4.0,59.2,5.2,13.6
,,,,,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0
Nominal,16.67,16.67,16.67,16.67,16.67,16.67
DR (BCC),25.5,16.1,17.2,7.4,14.6,19.2
ID (FCC+BCC),13.0,17.3,18.3,17.5,20.0,13.9
ID (Cu-rich),13.3,6.2,4.9,56.9,6.4,12.3
,,,,,,
2.0,2.0,2.0,2.0,2.0,2.0,2.0
Nominal,28.56,14.28,14.28,14.28,14.28,14.28
DR (BCC),31.5,16.8,10.8,9.1,15.0,16.9
ID (Cu-rich),15.1,3.4,4.2,68.2,4.0,5.1
